Namespace,Key,英文原文,原版中文（官方zh）,AI翻译,DeepSeek参考,翻译状态,生效预估（AI预估，仅供参考）
（根命名空间）,82F99A9140A257482D596988A09C2033,Slant Node,倾斜节点,,斜面节点,原版已有,✅ 已生效（原版支持）
（根命名空间）,830A852F4D2341088C3050948D5E221F,"- Mining bar on mining lasers
- build cost label in build menu
- Anti-aliasing type selector (MFAA, TAA, FXAA)
- color coded asteroid scan patches based on containing resource
- show asteroid build socket only for asteroids near camera
- additional info for objects under cursor (distance, composition, ...)
- rammer bounce logic when shield impact occurs
- new menu icons for T1 radiators
- new mining achievements (not on Steam yet)
- resource bars in info window for selected asteroid",,,"- 采矿激光上的采矿进度条
- 建造菜单中的建造成本标签
- 抗锯齿类型选择器（MFAA、TAA、FXAA）
- 根据所含资源类型，对扫描到的小行星区块进行颜色编码
- 只显示镜头附近小行星的建造接口
- 光标下物体的额外信息（距离、构成物等）
- 盾牌被撞击时撞击者的弹跳逻辑
- T1散热器的新菜单图标
- 新的采矿成就（尚未在Steam发布）
- 信息窗口中已选小行星的资源条",未翻译,—（未翻译）
（根命名空间）,83C182CA44ABFACDE53E1A82438BBF03,LeftCtrlPressed,按下左Ctrl键,,左Ctrl键按下,原版已有,✅ 已生效（原版支持）
（根命名空间）,844A3BE04194D009EEFA73A719853021,Basics,基础操作,,基础,原版已有,✅ 已生效（原版支持）
（根命名空间）,8500A43D46F8C40D94AB1EBB309C081D,Sell Materials ,出售材料 ,,出售物资,原版已有,✅ 已生效（原版支持）
（根命名空间）,8660803B45658175C9CC168394DE8F1C,Toggle Free Camera,切换自由视角,,切换自由镜头,原版已有,✅ 已生效（原版支持）
（根命名空间）,86894F404F5CB9D51F6970964490F636,Fighter Cannon,战斗舰大炮,,战斗机机炮,原版已有,✅ 已生效（原版支持）
（根命名空间）,86B10FBB47660C65162AD591FD79F93D,CONSTRUCTION FLEET,建造舰舰队,,建设舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,891A34534759E1949C22969E2AA01958,Metal Storage,金属存储库,,金属仓库,原版已有,✅ 已生效（原版支持）
（根命名空间）,895861B94D5D12A5278BFAA96958EFDD,MASTER COBALT SALVAGE,钴矿回收专家,,钴打捞大师,原版已有,✅ 已生效（原版支持）
（根命名空间）,89621BB74D37A5D6C6E335BE4CAC565C,LEGENDARY PROTECTOR,传奇军械师,,传奇守护者,原版已有,✅ 已生效（原版支持）
（根命名空间）,89BD80334566A897EBE5BCB3A81D1E82,OVERRULE,否决,,强制执行,原版已有,✅ 已生效（原版支持）
（根命名空间）,89E6F0DD48E6868F8471A8B85004F8B3,Energy,能源,,能量,原版已有,✅ 已生效（原版支持）
（根命名空间）,8B3CDB7B465EEC6AFECA1590FCD45CFA,Toggle DLSS,切换 DLSS,,切换DLSS,原版已有,✅ 已生效（原版支持）
（根命名空间）,8D5AEBD14CE628C1140492865A054343,VETERAN THORIUM MINER,老练钍矿工,,资深钍矿矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,8DBE6B0A4ABC7B2FE2EAD09C69AC1F93,- Added weapon group text in object's context window,,- 在对象信息窗口中添加了武器编组文本,- 在物体的右键菜单中增加了武器组信息,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,8F2684BB4A4E70F649B674AE601355EF,- Tutorial updates,,,- 教程更新,未翻译,—（未翻译）
（根命名空间）,9047BCD24D1C727A9DDC98B03D890A6C,Survive the void for hours ,,在虚空中存活数小时,在虚空中存活数小时,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,905EAFDC4C9EB885510ABE8840AA16E7,MASTER IRON SALVAGE,铁矿回收专家,,铁打捞大师,原版已有,✅ 已生效（原版支持）
（根命名空间）,91F636D14528C6D6CEF6488E44692CA0,Mobile miner equipped with a T1 refinery and T1 scanner.,,配备T1精炼厂和T1扫描仪的移动矿机。,配备了T1精炼器和T1扫描仪的移动矿机。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,9201632D45CF0CCE061BFE9D728D9481,"- Deselecting the hangar no longer displays Station Markers for all stations in the sector
- Building beyond mission boundaries is now disallowed
- Build point placement is now limited to within the mission area
- Fixed crashes caused by removing the final node from a Build point
- The Build point chain is destroyed if the station on the first point is destroyed
- Automatically advance to the next Build point if the first point has no remaining nodes to construct (e.g., the last node under construction was destroyed)
- Build points and Navigation points are no longer displayed in the Automation Interface window
- Hostile stations are no longer displayed in the Trade Automation form
- Showing the Operations Interface by pressing Tab is now disabled if the game menu is active
- The SAT icon is no longer displayed when NPC stations are trading
- ""Construct Pioneer Hold"" now displays instead of ""Construct None""
- Fixed the issue where the dialogue widget did not close on the last mission in the demo dialogue chain
- The mission to construct a Pioneer Hold now triggers correctly and the dialogue window closes
- The rank up indicator in Player data now correctly shows if modifiers are available for selection on game load
- The third objective of the ""Ducks in a Row"" mission can now be completed independently of which hauler station is active when arriving at the destination
- Fixed the destination name display for ""Move To"" objectives
- Constructed objects for stations under construction are now saved
- Prevented using Ctrl + D to disassemble single-node stations
- Fixed crashes when trying to set a station's center and radius on a station with no buildable objects left
- Fixed a bug where leveling up construction efficiency modifiers prevented constructing NPC stations
- Applying the Construction Efficiency modifier now updates progress bars for ongoing constructions
- Mini build menu offset is now constant relative to the zoom level
- The mini build menu is now hidden when construction is successfully placed on a socket
- Build points and Navigation points are no longer displayed in the Operations Interface – Officers Tab
",,,"- 取消选择机库后不再显示星区所有空间站的空间站标记
- 现在禁止在任务边界外建造
- 建造点放置现在限制在任务区域内
- 修复了从建造点移除最后一个节点导致的崩溃
- 如果第一个点上的空间站被摧毁，建造点链也会被摧毁
- 如果第一个建造点没有剩余可建造的节点（例如，正在建造的最后一个节点被摧毁），则自动推进到下一个建造点
- 建造点和导航点不再显示在自动化界面窗口
- 敌对空间站不再显示在贸易自动化表单中
- 如果游戏菜单处于激活状态，现在禁用按Tab键显示作战界面
- 当NPC空间站进行贸易时，不再显示SAT图标
- 现在显示「建造开拓者船舱」而非「建造无」
- 修复了演示对话链的最后一个任务中对话部件没有关闭的问题
- 建造开拓者船舱的任务现在能正确触发，并且对话窗口会关闭
- 玩家数据中的晋升指示器现在能在游戏加载时正确显示是否有可供选择的修改器
- 「整装待发」任务的第三个目标现在可以独立完成，无论到达目的地时哪个运输站处于激活状态
- 修复了「移动到」目标的目的地名称显示
- 在建空间站的已建造物体现在会被保存
- 阻止使用Ctrl + D拆解单节点空间站
- 修复了在尝试设置没有剩余可建造物体的空间站的中心和半径时发生的崩溃
- 修复了一个错误，该错误导致提升建造效率修改器会阻止建造NPC空间站
- 应用建造效率修改器现在会更新正在进行的建造进度条
- 迷你建造菜单的偏移量现在相对于缩放级别保持恒定
- 当建造成功放置到接口上时，迷你建造菜单现在会隐藏
- 建造点和导航点不再显示在作战界面 - 军官选项卡中
",未翻译,—（未翻译）
（根命名空间）,92D7214B40A00D3031C8EA8857F304EF,VETERAN EONITE SALVAGE,老练耀矿回收工,,资深原始石打捞者,原版已有,✅ 已生效（原版支持）
（根命名空间）,92EDC5FF4577B37A87AABEA2D58FD01B,Destroy Enemies ,摧毁敌人 ,,消灭敌人,原版已有,✅ 已生效（原版支持）
（根命名空间）,94193FC346E8B038462FDEA995F03723,MASTER NAVIGATOR,领航大师,,导航大师,原版已有,✅ 已生效（原版支持）
（根命名空间）,95ED327342703BEB33A2C1B026F82B52,Salvage Space Junk,,回收太空垃圾,打捞太空垃圾,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,95F855674DD70E71602D218807270795,ROOKIE MINER,新锐矿工,,采矿新手,原版已有,✅ 已生效（原版支持）
（根命名空间）,982836AF40CEABE70F48D692AFD2BEEC,Toggle Thruster Group 9,切换第 9 推进器组,,切换第9推进器组,原版已有,✅ 已生效（原版支持）
（根命名空间）,9902250346C4980CDC55928BF6E533B1,Override saved station,覆盖已保存的站点,,覆盖已保存的空间站,原版已有,✅ 已生效（原版支持）
（根命名空间）,992206E54B60F141EED141A02B5ACBE0,Fleet,舰队,,舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,99381F8A4DE3D89595748EA27230B643,"- Weapon group highlight now also shows weapon ranges
- Player class preset buttons added to the Character Creation screen
- Added automation trading condition: ""Lower Than""
- Score is now displayed in The Void
- German and Simplified Chinese translations updated",,,"- 武器组高亮现在也会显示武器射程
- 角色创建界面新增了玩家职业预设按钮
- 新增自动化贸易条件：「低于」
- 「虚空之境」中现在会显示得分
- 更新了德语和简体中文翻译",未翻译,—（未翻译）
（根命名空间）,9974D3494B7B8A0C7119D18DAA2BD12F,"- Display reasons why docking or merging is not available
- Additional icons for buildable objects
- Added SFX when entering build mode
- EN_US localization import
- Ability to show multiple notifications simultaneously",,"- 显示对接或合并不可用的原因
- 为可建造物体新增图标
- 进入建造模式时新增音效
- 导入 EN_US 本地化
- 可同时显示多条通知","- 显示无法停靠或合并的原因
- 为可建造物体增加了额外图标
- 进入建造模式时新增了音效
- 导入了英文（美国）本地化
- 可同时显示多个通知",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,9AF671A148639D767F47CB9A31A11C4C,Toggle Mining Lasers,切换采矿激光器,,切换采矿激光,原版已有,✅ 已生效（原版支持）
（根命名空间）,9D612CA4443D2D5FD3D20993C13A20B8,Pitch Forward,向前倾斜,,前倾,原版已有,✅ 已生效（原版支持）
（根命名空间）,9E0ABBDA435ED7EEA9B1AAA8E55AD520,Parts,部件,,零件,原版已有,✅ 已生效（原版支持）
（根命名空间）,9E1C0F7E4D77287F469C2EBCB87AAF20,VETERAN MERCENARY,老练雇佣兵,,资深雇佣兵,原版已有,✅ 已生效（原版支持）
（根命名空间）,9E6076E040BF2876547EB9B92528E44F,Fleet,舰队,,舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,9E8C37FE4969AA07576FA68813CD7F36,Salvage Space Junk,,打捞太空残骸,打捞太空垃圾,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,9FB0DCC34896A62752CF668291E6BFDB,Weapons,武器,,武器,原版已有,✅ 已生效（原版支持）
（根命名空间）,A04A779E4C45DE538863CDAF6FBCB724,Pitch Backward,向后倾斜,,后仰,原版已有,✅ 已生效（原版支持）
（根命名空间）,A21819E244818F24B35209BF3188294C,Tech,科技,,科技,原版已有,✅ 已生效（原版支持）
（根命名空间）,A282937F45995E45C639949AB5D580A0,VETERAN IRON SALVAGE,老练铁矿回收工,,资深钢铁回收,原版已有,✅ 已生效（原版支持）
（根命名空间）,A2E3A93843546968DCFC60AE62BB9E7E,Haulers can collect and store resources in your storage modules. More Haulers means faster resource collection. Build more Haulers in T1 or T2 Hangars.,,运输船可以收集资源并存储到您的仓储模块中。运输船越多，资源收集速度越快。在T1或T2机库中建造更多运输船。,运输船可以收集资源并将其存入你的存储模块。运输船越多，资源收集越快。在 T1 或 T2 机库中建造更多运输船。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,A347FE6A403FA7B111B4728A2D0A695D,MASTER ICE MINER,冰矿挖掘专家,,资深冰矿矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,A4CED1B743880E9FAC93FD87BD6F0E89,ROOKIE TRADER,新锐商人,,新手贸易商,原版已有,✅ 已生效（原版支持）
（根命名空间）,A5DAE6264078D22C63DD3AB9BD74DE22,"- Hangarship panel visibility fix
- Higlight issues fixed for station in Tutorial 2
- Tutorial text fixes
- Asteroid composition fix in Tutorial 1",,,"- 修复了机库舰船面板可见性问题
- 修复了教程2中空间站的高亮问题
- 修复了教程文本
- 修复了教程1中的小行星成分问题",未翻译,—（未翻译）
（根命名空间）,A8143CC94361DC23CB25F495A847D81C,Build Mining Lasers,建造采矿激光器,,建造采矿激光,原版已有,✅ 已生效（原版支持）
（根命名空间）,A8205580424C708E7ECD49A9A64577FE,"- Tutorial 2 reworked missions and dialogues
- Tutorial 2 environment rework
- Added ""Jettison Chunks"" objective to Tutorial 2
- Hovering over Weapon and Thruster group bars now highlights modules in the group
- Display mining range and weapon range objective types
- Operations Interface rework
- Trade Window rework
- Grid slot highlight for Iron chunks in Jettison objective
- Mass is now displayed in object tooltips
- Storage context is now shown in the Info window",,,"- 重制了教程2的任务与对话
- 重制了教程2的环境
- 在教程2中新增「丢弃矿物块」目标
- 鼠标悬停在武器和推进器组条上时，现在会高亮显示该组中的模块
- 显示采矿范围和武器范围的目标类型
- 重制了作战界面
- 重制了交易窗口
- 「丢弃」目标中的铁矿块现在有网格槽高亮
- 物体提示框现在会显示质量
- 信息窗口现在会显示仓储背景",未翻译,—（未翻译）
（根命名空间）,A8F5362948F8CAC0F5552AAF0024A310,Earn SAT ,赚取聪币 ,,赚取SAT,原版已有,✅ 已生效（原版支持）
（根命名空间）,A911873D456E111EE8396BB16E3378B1,VETERAN COBALT MINER,老练钴矿矿工,,资深钴矿矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,A92A5B684E97C2B1A64EDDA64F566AF8,"To trade or move resources from one station to another, you will need to set up a trade route via two hangars. Hangars house Haulers, which move cargo while using the hangars at the adjacent station as their entry point.",,要在空间站之间交易或转移资源，你需要通过两个机库设置贸易路线。机库停放运输船，运输船使用相邻空间站的机库作为进入点来运输货物。,要在不同空间站之间交易或转移资源，你需要通过两个机库来建立一条贸易路线。机库中驻留着运输船，它们会以相邻空间站的机库作为入口点，从而进行货物运输。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,AAF40718488E6FB6267B3D9D4376E851,Toggle Pilot Camera,切换驾驶员视角,,切换驾驶员视角,原版已有,✅ 已生效（原版支持）
（根命名空间）,AB06260C43BF7E45CDE7B4BF775246DF,Build Weapon Modules,,建造武器模块,建造武器模块,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,AC50D3954DEF75DD2DEE508B6885E266,ROOKIE MERCENARY,新锐雇佣兵,,新手佣兵,原版已有,✅ 已生效（原版支持）
（根命名空间）,AC8BD58440AAFB45B37731BA3A3486E6,Toggle Thruster Group 6,切换第 6 推进器组,,切换推进器组6,原版已有,✅ 已生效（原版支持）
（根命名空间）,ACACF33E4F4D20E702CA619AD8520A26,Move Up,向上移动,,向上移动,原版已有,✅ 已生效（原版支持）
（根命名空间）,ACCEPT,ACCEPT,接受,,接受,原版已有,✅ 已生效（原版支持）
（根命名空间）,ACCEPTED,ACCEPTED,已接受,,已接受,原版已有,✅ 已生效（原版支持）
（根命名空间）,ACHIEVEMENTS,ACHIEVEMENTS,成就,,成就,原版已有,✅ 已生效（原版支持）
（根命名空间）,ACTIVE,ACTIVE,激活,,已启用,原版已有,✅ 已生效（原版支持）
（根命名空间）,ACTIVE_OFFICERS,ACTIVE OFFICERS:,可用长官：,,现役军官：,原版已有,✅ 已生效（原版支持）
（根命名空间）,AD3023384879BCBF3D3287854DB963FB,GREENSPACE,绿区,,绿区,原版已有,✅ 已生效（原版支持）
（根命名空间）,AD576C5C4B3C0479D7084CB008D8FE82,Fleet,舰队,,舰队,原版已有,✅ 已生效（原版支持）
（根命名空间）,ADCEBBD64652699667D14BA2D2982BDB,Toggle Scanners,切换扫描仪,,切换扫描仪,原版已有,✅ 已生效（原版支持）
（根命名空间）,ADD,Add,添加,,添加,原版已有,✅ 已生效（原版支持）
（根命名空间）,ADD_POINT,Add Point,添加点,,添加航点,原版已有,✅ 已生效（原版支持）
（根命名空间）,ADE8BEED4DAF25264CCEA3A894B54F92,Tech,科技,,科技,原版已有,✅ 已生效（原版支持）
（根命名空间）,AE39250448D264DD64621DB42EC2514F,VETERAN IRON MINER,老练铁矿矿工,,资深铁矿矿工,原版已有,✅ 已生效（原版支持）
（根命名空间）,AE611FE04C4CA1B3237B00A71BEA932C,Toggle Orbit Camera,切换轨道视角,,切换轨道视角,原版已有,✅ 已生效（原版支持）
（根命名空间）,AF105F9D402A18686DD72F8A14A66795,Rotate Structure,旋转结构体,,旋转建筑,原版已有,✅ 已生效（原版支持）
（根命名空间）,AF833EA9403256FA850AE7B66BE2AAD0,Metal Storage,金属存储库,,金属仓库,原版已有,✅ 已生效（原版支持）
（根命名空间）,AGE,AGE,年龄,,年龄,原版已有,✅ 已生效（原版支持）
（根命名空间）,ALERT_LEAVING_MISSION_AREA,RETURN TO MISSION AREA,回到任务区,,返回任务区域,原版已有,✅ 已生效（原版支持）
（根命名空间）,ALERT_MOTHERSHIP_DETECTED,MOTHERSHIP DETECTED,探测到母舰,,侦测到母舰,原版已有,✅ 已生效（原版支持）
（根命名空间）,ALERT_PROXIMITY,PROXIMITY ALERT,距离接近警报,, proximity 警报,原版已有,✅ 已生效（原版支持）
（根命名空间）,ALERT_RETROTHRUSTERS,BOOSTERS ACTIVE,助推器激活,,推进器已启动,原版已有,✅ 已生效（原版支持）
（根命名空间）,ALL,ALL,所有,,全部,原版已有,✅ 已生效（原版支持）
（根命名空间）,ALL_MISSION_TYPES,ALL MISSION TYPES,所有任务类型,,所有任务类型,原版已有,✅ 已生效（原版支持）
（根命名空间）,AMOUNT,AMOUNT,数量,,数量,原版已有,✅ 已生效（原版支持）
（根命名空间）,APPLY,APPLY,应用,,应用,原版已有,✅ 已生效（原版支持）
（根命名空间）,ASSIGN,ASSIGN,分配,,指派,原版已有,✅ 已生效（原版支持）
（根命名空间）,ASSIGNED_COLONISTS,ASSIGNED COLONISTS,已分配的星际移民,,已指派的殖民者,原版已有,✅ 已生效（原版支持）
（根命名空间）,ASSIGN_MINING_EQUIPMENT,Assign mining equipment,分配采矿设备,,指派采矿设备,原版已有,✅ 已生效（原版支持）
（根命名空间）,ASTEROIDS,ASTEROIDS,小行星,,小行星,原版已有,✅ 已生效（原版支持）
（根命名空间）,AUTOBRAKES,AUTOBRAKES,自动刹车,,自动制动,原版已有,✅ 已生效（原版支持）
（根命名空间）,AVAILABLE,AVAILABLE,可用,,可用,原版已有,✅ 已生效（原版支持）
（根命名空间）,AVAILABLE_ENGINEERS,AVAILABLE ENGINEERS,可用工程舰,,可用工程师,原版已有,✅ 已生效（原版支持）
（根命名空间）,B00E016B42A19B62E4A9628ABED71366,- Radar range visualization,,- 雷达范围可视化,- 雷达范围可视化,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,B024682E481818EE67C215AA9EDC55D1,Rotation Gimbal,旋转平衡环,,旋转基座,原版已有,✅ 已生效（原版支持）
（根命名空间）,B06C5BCB4B0ADB3EC35F06AD93FD1793,Mining,采矿,,采矿,原版已有,✅ 已生效（原版支持）
（根命名空间）,B0B9F5F74AB5A667AF45E5A2EA545CD4,"- Modified Officer Entry widget to use a vertical scroll box
- The Void enemy behavior tweaks
- Mining SFX volume adjustment
- Campaign TGS resource tweaks
- Dialogue updates",,,"- 将官员条目控件修改为使用垂直滚动框
- 调整了「虚空」敌人的行为
- 调整了采矿音效的音量
- 调整了战役中的 TGS 资源
- 更新了对话内容",未翻译,—（未翻译）
（根命名空间）,B15C069B4C6670EA874FD39375BF263E,Zoom In,放大,,放大,原版已有,✅ 已生效（原版支持）
（根命名空间）,B1D21A3842A907D3A9166388C16E5FD5,Toggle Build Mode,切换建造模式,,切换建造模式,原版已有,✅ 已生效（原版支持）
（根命名空间）,B2AF98E7401C26ED0838389D1A169CB8,Do you wish to override saved station?,是否要覆盖已保存的站点？,,是否要覆盖已保存的空间站？,原版已有,✅ 已生效（原版支持）
（根命名空间）,B2B18CEA48C61B657E45E587582BA8D5,MASTER EONITE SALVAGE,耀矿回收专家,,大师级永恒之石打捞,原版已有,✅ 已生效（原版支持）
（根命名空间）,B2CF12BE4C9AE3D89B1DC7A25D0C8664,Build Construction Engineers ,打造建造工程舰 ,,建造工程兵,原版已有,✅ 已生效（原版支持）
（根命名空间）,B373F51144EE1BEDB7CCC280CB8BA4C4,Sell Metals ,出售金属 ,,出售金属,原版已有,✅ 已生效（原版支持）
（根命名空间）,B3AAB0664B029BD81EF088A314AF812D,"Tradeships can load even more resources for trade or transport. For a tradeship to dock, a port needs to be assigned on an empty socket of the hulk node via the build menu. To send a tradeship, click on it and choose a desired destination. A dotted green line will show all valid destinations.",,贸易船可以装载更多资源用于交易或运输。要让贸易船停靠，需要通过建造菜单在舰体节点的空插槽上分配一个港口。要派遣贸易船，点击它并选择目标地点。虚线绿线将显示所有有效目的地。,贸易船可以装载更多资源进行贸易或运输。要让贸易船停靠，需要通过建造菜单在残骸节点的一个空接口上指定一个港口。要派遣贸易船，点击它并选择一个理想的目的地。绿色的虚线将显示所有有效的目的地。,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,B4022D3741316A7ADF05B88BF8641FA9,Delete Selected Object,删除已选目标,,删除所选对象,原版已有,✅ 已生效（原版支持）
（根命名空间）,B433D2D14ED3264754203896691C056A,Destroy Enemy Gunships.,摧毁敌方武装飞船。,,摧毁敌方炮艇。,原版已有,✅ 已生效（原版支持）
（根命名空间）,B6F995744B2EC237E1F7FE9EA8BB8720,"- Quarters no longer produce on loop
- Habitats no longer auto-produce when built
- Rounded material amount values on asteroids
- Demo main mission chain is now split into multiple smaller missions
- Some demo missions are now optional
- Refineries now start with empty production filters
- Boosters are now enabled by default for all stations",,"- 宿舍不再循环生产
- 居住舱建造时不再自动生产
- 小行星上的材料数量值进行了四舍五入
- 演示版主线任务链现在分为多个较小的任务
- 部分演示版任务现在为可选
- 精炼厂现在以空的生产过滤器开始
- 所有空间站现在默认启用推进器","- 居住区不再循环生产
- 居住舱建造后不再自动生产
- 小行星上的材料数量值已取整
- 试玩版主线任务链现拆分为多个较小的任务
- 部分试玩版任务现改为可选任务
- 精炼厂现在默认以空的生产过滤器启动
- 所有空间站现在默认启用助推器",AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,B8B8ADB4422360BD1D7497B83C04DE92,- Energy delivery to module under construction,,- 向建造中的模块传输能量,- 向在建模块输送能量,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,BA158DCA4AA152EB7EF9A5B8BBF8F872,Salvage Space Junk,,打捞太空残骸,打捞太空垃圾,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,BA4C163D4B41A2A3416AF3A66A295ABF,MouseRB,鼠标右键,,鼠标右键,原版已有,✅ 已生效（原版支持）
（根命名空间）,BAD3DD914A61127F7E1A50A00194148B,Destroy Enemy Hunters ,摧毁敌方猎手舰 ,,摧毁敌方猎手,原版已有,✅ 已生效（原版支持）
（根命名空间）,BAE07A86458939214D3EF3A9BF6F7727,MASTER IRON MINER,铁矿挖掘专家,,铁矿大师,原版已有,✅ 已生效（原版支持）
（根命名空间）,BALANCE,BALANCE,余额,,平衡,原版已有,✅ 已生效（原版支持）
（根命名空间）,BATTERIES,BATTERIES,电池,,电池,原版已有,✅ 已生效（原版支持）
（根命名空间）,BATTERIES_OUT,BATTERIES OUT,电量不足,,电池耗尽,原版已有,✅ 已生效（原版支持）
（根命名空间）,BB9AD5194EC3F5BF4B38A29F553A75A1,VETERAN DEFENDER,老练守卫,,老兵防御者,原版已有,✅ 已生效（原版支持）
（根命名空间）,BCE1421F4180F471A1CCB78F2B3C684E,- Hail and Dialogue widgets can now have individually stylized texts and inline icons,,,- 呼叫与对话控件现在可以拥有独立风格文本和内嵌图标,未翻译,—（未翻译）
（根命名空间）,BD4BF7524E6114ADA197E1BBBF91D985,Destroy Enemy Monarchs ,摧毁敌方主舰 ,,摧毁敌方君主,原版已有,✅ 已生效（原版支持）
（根命名空间）,BD8A5A9B4EC91F264B029B9ED18CCE83,"- Default modules are now disabled in the tutorial
- Fixed Research not functioning in the tutorial
- Enabled merging/docking in demo
- Research now resets on Game Menu Reset
- Fixed XP, Max XP, Research Points, and Max Research Points not resetting after Game Menu Reset
- Fixed solar panel sun orientation in tutorials
- Updated Tutorial 2 dialogue and illustrations
- Energy transfer will no longer occur if all conditions are not met
- Fixed energy transfer speed when filling multiple consumers
- Background music plays while the game is paused
- Fixed enemy fighters idling in front of the player station and not shooting
- Fixed dialogue window width for loaded saves
- Hostile constructors now repair and build only hostile stations (and vice versa)
- Fixed weapon range visualization not appearing on stations with scanners
- Fixed radar range visualization issues
- Improved fighter movement and targeting
- Resource cluster icons now display when zoomed out
- Various crash prevention fixes
- Forced hardware mouse cursor
",,,"- 教程中默认模块现为禁用状态
- 修复了教程中研究功能无法使用的问题
- 在试玩版中启用了合并/停靠
- 研究进度现会在游戏菜单重置时归零
- 修复了游戏菜单重置后，经验值、最大经验值、研究点数及最大研究点数未重置的问题
- 修复了教程中太阳能板朝向太阳的问题
- 更新了教程2的对话和插图
- 未满足所有条件时，将不再进行能量传输
- 修复了为多个用电器充能时的能量传输速度问题
- 游戏暂停时背景音乐将继续播放
- 修复了敌方战斗机在玩家空间站前闲置且不开火的问题
- 修复了加载存档后的对话窗口宽度问题
- 敌方建造者现在只会修理和建造敌方空间站（反之亦然，友方同理）
- 修复了带有扫描仪的空间站上不显示武器射程可视化的问题
- 修复了雷达范围可视化的若干问题
- 改进了战斗机的移动和瞄准机制
- 资源簇图标现在会在缩小视图时显示
- 多项崩溃预防修复
- 强制使用硬件鼠标指针
",未翻译,—（未翻译）
（根命名空间）,BE989E2B47EDBEC1C6600693175BF925,Travel Distance ,航行距离 ,,移动距离,原版已有,✅ 已生效（原版支持）
（根命名空间）,BENCHMARK_CPU,CPU,,,CPU,未翻译,—（未翻译）
（根命名空间）,BENCHMARK_GPU,GPU,,,GPU,未翻译,—（未翻译）
（根命名空间）,BENCHMARK_SCORE,BENCHMARK SCORE,性能测试分数,,基准分数,原版已有,✅ 已生效（原版支持）
（根命名空间）,BF47B861465F4A70712A7C9801FB9364,Weapons,武器,,武器,原版已有,✅ 已生效（原版支持）
（根命名空间）,BIRTH_RATE,BIRTH RATE,出生率,,生育率,原版已有,✅ 已生效（原版支持）
（根命名空间）,BLUEPRINT,BLUEPRINT,蓝图,,蓝图,原版已有,✅ 已生效（原版支持）
（根命名空间）,BOOST,BOOST,加速,,加速,原版已有,✅ 已生效（原版支持）
（根命名空间）,BORN_COLONISTS,BORN,出生,,新生儿,原版已有,✅ 已生效（原版支持）
（根命名空间）,BRIDGE,BRIDGE,舰桥,,舰桥,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD,BUILD,建造,,建造,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILDERS,BUILDERS,建造舰,,建造者,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILDING,BUILDING,建造中,,建筑,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD_ENGINEER,BUILD ENGINEERS,建造工程舰,,建造工程师,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD_ORDER,BUILD ORDER,建造顺序,,建造指令,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD_PROGRESS,BUILD PROGRESS,建造进度,,建造进度,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD_QUEUE,BUILD QUEUE,建造队列,,建造队列,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD_QUEUE_DOWN,Lower build priority,降低建造优先级,,降低建造优先级,原版已有,✅ 已生效（原版支持）
（根命名空间）,BUILD_QUEUE_UP,Higher build priority,,提高建造优先级,提高建造优先级,AI新增,⚠️ 预计生效（AI预估）—根命名空间UI条目可被locres patch覆盖
（根命名空间）,BUILD_REQUIREMENTS,BUILD REQUIREMENTS,建造要求,,建造需求,原版已有,✅ 已生效（原版支持）
